period,shareName,shareCode,marketName,marketCode,operatingCashFlow,depreciation,amortization,investingCashFlow,investingCashFlowIn,investingCashFlowOut,financingCashFlow,financingCashFlowIn,financingCashFlowOut,decreaseInTangibleAssets,decreaseInOtherTangibleAssets,decreaseInIntangibleAssets,increaseInInvestmentRealEstate,increaseInTangibleAssets,increaseInRealEstate,increaseInOtherTangibleAssets,increaseInIntangibleAssets,increaseInShortTermBorrowings,increaseInDebt,increaseInLongTermBorrowings,decreaseInShortTermBorrowings,decreaseInDebt,decreaseInLongTermBorrowings,acquisitionOfTreasuryStock,beginningOfTermCashAndCashEquivalents,endOfTermCashAndCashEquivalents
2021/05,ESR켄달스퀘어리츠,365550,부동산,229,88.6,59.1,,-11619.0,,11619.0,8216.6,8918.3,701.7,,,,9816.5,,,,,,,5114.0,,,,,3582.8,268.9
2021/11,ESR켄달스퀘어리츠,365550,부동산,229,182.2,76.8,,-2619.0,58.1,2677.1,2403.0,2598.1,2.5,,,,2303.5,,,,,281.4,,2230.0,,,,,268.9,235.2
2022/05,ESR켄달스퀘어리츠,365550,부동산,229,213.0,130.7,,-8112.9,537.9,8650.9,8004.0,9288.1,1092.1,,,,7754.7,1.0,,1.0,,527.7,,4180.0,809.1,,200.0,,235.2,339.2
2023/05(E),ESR켄달스퀘어리츠,365550,부동산,229,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,F&F홀딩스,007700,"섬유,의류,신발,호화품",134,558.1,69.1,1.4,167.2,221.4,54.2,-626.4,683.9,1279.5,,,,,,,,,,,,,,,,,
2017/12,F&F홀딩스,007700,"섬유,의류,신발,호화품",134,666.4,77.3,0.8,-387.9,2.2,390.1,-53.9,3.0,3.0,0.5,0.4,0.2,,108.1,,68.6,24.1,3.0,,,3.0,,,,99.8,322.8
2018/12,F&F홀딩스,007700,"섬유,의류,신발,호화품",134,273.1,95.9,0.8,-330.4,576.4,906.8,-120.3,128.8,149.0,0.4,0.2,0.1,,477.5,36.5,97.8,4.8,126.0,,,149.0,,,,322.8,173.0
2019/12,F&F홀딩스,007700,"섬유,의류,신발,호화품",134,1618.4,300.7,1.1,-1095.3,257.3,1352.7,-244.6,107.3,251.8,0.7,0.7,,,322.1,,322.1,5.1,,,104.4,,,,68.7,173.0,449.0
2020/12,F&F홀딩스,007700,"섬유,의류,신발,호화품",134,1546.0,350.9,4.7,-1395.2,2894.0,4289.2,165.9,546.2,227.0,0.5,0.5,35.3,,199.0,,199.0,179.2,540.2,,,,,,17.2,449.0,753.6
2021/12,F&F홀딩스,007700,"섬유,의류,신발,호화품",134,2799.5,267.0,8.2,907.9,3297.1,2389.2,-2445.5,2808.7,5101.1,3.0,3.0,0.9,,109.8,,109.8,54.5,2806.8,,,4898.5,,,2.7,753.6,710.9
2022/12(E),F&F홀딩스,007700,"섬유,의류,신발,호화품",134,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,GS,078930,석유와가스,217,8516.8,,,-5235.9,16780.2,22016.1,-3363.5,10184.3,11827.7,,,,,,,,,,,,,,,,,
2017/12,GS,078930,석유와가스,217,13064.8,,,-14182.0,3348.3,17530.3,3345.1,17817.6,12596.3,189.5,189.5,39.4,120.4,11180.0,,11180.0,494.0,,,17817.6,,,9839.9,,5038.0,7231.5
2018/12,GS,078930,석유와가스,217,12692.0,,,-8358.9,7493.4,15873.3,-5150.3,9275.0,12395.1,297.3,297.3,25.4,13.9,7313.1,,7313.1,304.8,,,9275.0,,,12329.7,,7231.5,6535.7
2019/12,GS,078930,석유와가스,217,15864.1,,,-3438.2,7569.1,11007.3,-11664.5,67185.9,76558.3,1052.7,1052.7,37.3,0.9,7356.6,,7356.6,54.3,,,66962.9,,,72371.8,,6535.7,7366.7
2020/12,GS,078930,석유와가스,217,17381.9,,,-14240.0,7931.5,22171.5,-2968.1,48680.0,49104.9,376.1,376.1,68.6,40.5,5984.9,,5984.9,108.1,,,45829.2,,,44656.1,,7366.7,7428.1
2021/12,GS,078930,석유와가스,217,10139.5,,,-14242.6,22674.6,36917.2,8636.6,56644.1,45641.6,435.4,435.4,65.2,1369.5,7684.2,,7684.2,163.6,,,44921.9,,,40921.8,,7428.1,12049.6
2022/12(E),GS,078930,석유와가스,217,29302.0,,,-10808.0,,,-10002.0,,,,,,,,,,,,,,,,,,,
2017/12,HDC현대산업개발,294870,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12,HDC현대산업개발,294870,건설,42,4546.4,82.9,3.1,-2489.0,10894.1,13383.1,283.3,9824.8,9541.5,0.1,0.1,,,58.5,,58.5,1.0,8230.0,1294.8,300.0,8530.0,,,7.2,6606.9,8947.6
2019/12,HDC현대산업개발,294870,건설,42,-1199.9,249.3,10.0,-2378.2,23463.1,25841.3,-1758.9,10296.9,11836.1,0.4,0.4,0.4,,49.8,,49.8,25.3,10296.9,,,10052.9,,,,8947.6,3610.6
2020/12,HDC현대산업개발,294870,건설,42,-2589.1,347.5,16.7,-10128.2,44873.9,55002.1,14422.8,25822.7,11180.3,3.0,3.0,3.2,,46.0,,46.0,39.7,15258.9,4679.6,2700.0,9252.9,,,,3610.6,5266.2
2021/12,HDC현대산업개발,294870,건설,42,304.5,365.2,19.6,-1495.5,95948.2,97443.7,-585.0,13712.2,13901.9,1.5,1.5,,1747.2,171.3,,171.3,10.7,12155.9,995.4,480.0,11703.9,,,,5266.2,3508.1
2022/12(E),HDC현대산업개발,294870,건설,42,,,,,,,,,,,,,,,,,,,,,,,,,,
