period,shareName,shareCode,marketName,marketCode,totalRevenue,costOfRevenue,grossProfit,operationExpense,operationIncome,interestIncome,interestExpense,otherNonOperationIncExp,earningBfTax,incomeTaxExpense,netIncome
2020/06,백금T&A,046310,전자장비와기기,197,270.0,203.8,66.2,60.3,6.0,1.6,0.3,-1.4,5.8,11.3,-5.5
2020/09,백금T&A,046310,전자장비와기기,197,289.8,226.7,63.1,54.1,9.0,1.4,,-2.1,8.4,0.4,8.0
2020/12,백금T&A,046310,전자장비와기기,197,361.3,285.2,76.1,82.2,-6.1,5.0,1.7,-32.3,-35.1,12.0,-47.1
2021/03,백금T&A,046310,전자장비와기기,197,418.0,320.5,97.4,53.3,44.2,1.9,1.8,5.1,49.4,4.3,45.1
2021/06,백금T&A,046310,전자장비와기기,197,330.2,261.5,68.7,49.8,18.9,1.4,1.8,1.1,19.6,7.0,12.6
2021/09,백금T&A,046310,전자장비와기기,197,326.8,253.6,73.3,49.6,23.6,1.5,1.9,6.1,29.4,3.6,25.7
2021/12,백금T&A,046310,전자장비와기기,197,489.6,399.4,90.3,77.5,12.8,1.9,2.2,3.7,16.3,1.6,14.7
2022/03(E),백금T&A,046310,전자장비와기기,197,,,,,,,,,,,
2020/06,버킷스튜디오,066410,IT서비스,154,50.0,38.6,11.4,12.6,-1.2,20.8,1.4,0.5,2.7,,2.7
2020/09,버킷스튜디오,066410,핸드셋,207,42.9,31.0,12.0,12.1,-0.1,1.9,2.7,-0.3,-16.4,,-16.4
