shareCode,shareName,shareNameEn,marketType,shareType
317120,라닉스,RANIX INC.,KOSDAQ,보통주
042510,라온시큐어,RaonSecure Co. Ltd.,KOSDAQ,보통주
232680,라온테크,RAONTEC Inc.,KOSDAQ,보통주
300120,라온피플,LaonPeople Inc.,KOSDAQ,보통주
171120,라이온켐텍,LION CHEMTECH CO. Ltd.,KOSDAQ,보통주
069540,라이트론,LIGHTRON INC.,KOSDAQ,보통주
347700,라이프시맨틱스,Life Semantics Corp.,KOSDAQ,보통주
214260,라파스,Raphas Co. Ltd.,KOSDAQ,보통주
171010,램테크놀러지,RAM TECHNOLOGY CO. LTD.,KOSDAQ,보통주
084650,랩지노믹스,LabGenomics. Co. Ltd.,KOSDAQ,보통주
217500,러셀,RUSSELL CO. LTD.,KOSDAQ,보통주
141080,레고켐바이오,LegoChem Biosciences Inc.,KOSDAQ,보통주
060300,레드로버,REDROVER CO.LTD,KOSDAQ,보통주
038390,레드캡투어,RedcapTour Co. Ltd.,KOSDAQ,보통주
294140,레몬,LEMON COMPANY LIMITED,KOSDAQ,보통주
228670,레이,Ray Co. Ltd.,KOSDAQ,보통주
228850,레이언스,RAYENCE CO. LTD.,KOSDAQ,보통주
281740,레이크머티리얼즈,Lake Materials Co. Ltd.,KOSDAQ,보통주
277810,레인보우로보틱스,Rainbow Robotics,KOSDAQ,보통주
215100,로보로보,RoboRobo Co. Ltd.,KOSDAQ,보통주
090360,로보스타,Robostar Co.Ltd.,KOSDAQ,보통주
108490,로보티즈,ROBOTIS,KOSDAQ,보통주
900260,로스웰,Rothwell International Co. Limited,KOSDAQ,보통주
067730,로지시스,LOGISYS INC.,KOSDAQ,보통주
071280,로체시스템즈,RORZE SYSTEMS CORPORATION,KOSDAQ,보통주
038060,루멘스,LUMENS CO. LTD.,KOSDAQ,보통주
085370,루트로닉,Lutronic Corporation,KOSDAQ,보통주
060240,룽투코리아,LONGTU KOREA Inc.,KOSDAQ,보통주
058470,리노공업,LEENO Industrial Inc,KOSDAQ,보통주
039980,리노스,LEENOS CORP.,KOSDAQ,보통주
019570,리더스 기술투자,Leaders Technology Investment Co.Ltd,KOSDAQ,보통주
016100,리더스코스메틱,LEADERS COSMETICS CO.LTD.,KOSDAQ,보통주
012700,리드코프,The LEADCORP Inc.,KOSDAQ,보통주
302550,리메드,REMED CO.LTD.,KOSDAQ,보통주
377450,리파인,REFINE Co. Ltd,KOSDAQ,보통주
029480,릭스솔루션,Lix Solution Co.Ltd.,KOSDAQ,보통주
277070,린드먼아시아,Lindeman Asia Investment Corporation,KOSDAQ,보통주
042500,링네트,RingNet Co. Ltd.,KOSDAQ,보통주
219420,링크제니시스,Linkgenesis Co. Ltd.,KOSDAQ,보통주
195500,마니커에프앤지,Maniker F&G,KOSDAQ,보통주
222810,마이더스AI,Midas AI Co.Ltd.,KOSDAQ,보통주
